title,organization,date_posted,description,location
20 2025 SUN 'n FUN Fly-In,SUN 'n FUN Aerospace Expo,"Date Posted: March 16, 2025","April 1-6, 2025 for our More Fun at 51 annual SUN 'n FUN Fly-In on the SUN 'n FUN Campus in Lakeland, Florida. Come volunteer at one of the world's largest airshow with 3,000+ other volunteers. There are hundreds of volunteer opportunities available: Admissions - High Priority Need Parking Lot Posse- High Priority Need Securit","Lakeland, FL, 33811"
21 ¿Hablas español and want to volunteer virtually? We need more bilingual volunteers!,Crisis Text Line,"Date Posted: March 18, 2025","Crisis Text Line increases access to mental health services to people across the country. Our pledge is to provide free, 24/7 support in English and Spanish via text message and web chat. ¡Todo esto es posible gracias a voluntarios como tú! The Spanish-speaking community needs us all, and they need us now. Data shows t","Nationwide, CA, 90011"
22 Volunteer Online as a Conversation Partner,The ENGin Program,"Date Posted: March 27, 2025",Are you ready to change a life from the comfort of home? Join ENGin as a conversation partner! This is a flexible and unique opportunity to make a direct impact on someone’s life while discovering a new culture and meeting a new friend. We’ll pair you up with a buddy in Ukraine for weekly videochats at times that are convenient for you. During your conv,"New York, NY, 10001"
23 Engage Your Community in Citizen Science - Become an Ambassador!,SciStarter in partnership with Science Cheerleaders,"Date Posted: March 5, 2025","Whether you’re passionate about pollinators, starry-eyed about the night sky, or just excited by science, becoming a SciStarter Ambassadors might be for you! SciStarter Ambassadors connect their community to citizen science resources and activities and champion the work of citizen scientists. You don’t need to have a background in science, or be a professional scientist to be","Nationwide, PA, 19106"
24 Help Low-Income Students Succeed: Online Tutoring Opportunity!,UPchieve,"Date Posted: March 25, 2025","Change a Student’s Life-From Anywhere, Anytime Through Online Tutoring! UPchieve makes it easy for you to support students who wouldn’t otherwise have access to free, high-quality tutoring and academic coaching. Whether you help for 10 minutes or 10 hours, every session makes a difference. Why Volunteer with UPchieve? Make a real impact",11201
25 Community Service for Court. ANYWHERE in the USA! Call ANYDAY. Nobel & Prize Winners Library,GANGA LIBRARY INC,"Date Posted: March 30, 2025",Community Service for Court. ANYWHERE in the USA! Call ANYDAY. Nobel & Prize Winners Library,20004
26 Spanish Speaking Tech Mentor,San Jose Public Library - Biblioteca Latinoamericana Branch Library,"Date Posted: March 18, 2025","Teach/assist library patrons with basic to advanced computer skills from creating an e-mail, resume writing, saving and attaching files, finding/filling out job or applications, searching the Internet and more. At our library we have seen an influx of Spanish speakers needing technological support and are in need of volunteers to help us out! The ideal volunteer needs to be computer liter","San Jose, CA, 95110"
27 Northern California Kidney Walk,A5 Events with Team Against Drugs Inc,"Date Posted: March 28, 2025","The Northern California Kidney Walk builds hope for a future without suffering-for every person in this fight. By participating in the 2025 Northern California Kidney Walk, you’ll let others know they’re not alone. We're on the lookout for people to help with the following, not all areas are needed for each event, but this is a great idea on a variety","San Jose, CA, 95110"
28 Lead Volunteer Opportunity at the Loaves & Fishes Organic Garden!,Loaves & Fishes Family Kitchen,"Date Posted: March 12, 2025","We’re looking for enthusiastic Lead Volunteers to help manage operations at the Loaves & Fishes Organic Garden in San Jose, CA! Lead Volunteers will oversee daily activities four days a week from 9 a.m. to 12 p.m. If you have","San Jose, CA, 95112"
29 Lifeboat by NOMV Volunteer Administrator,NOT ONE MORE VET INC,"Date Posted: March 18, 2025","Since 2014, NOMV pioneered online peer-to-peer support and mentorship in the veterinary community across our Facebook forums. Lifeboat extends this model further by providing anonymity for users as they are paired with a team of veterinary professionals trained in peer support who will accompany and mentor these individuals through their crisis. The program modif",Virtual Opportunity
30 Chapter Director,StandUp for Kids - Silicon Valley (CA),"Date Posted: February 16, 2025","StandUp for Kids is looking for a Chapter Director to oversee operational and financial health of Silicon Valley Chapter. The Chapter Director works collaboratively with National Staff and local volunteers to strategically carry out the mission to end the cycle of youth homelessness. Must be professional, well organized and equipped to work through challenges. Must be self-directed, action orie","San Jose, CA, 95112"
31 Youth Heart Screening @ Bellarmine College Prep School 5/17/25,KYLE J TAYLOR FOUNDATION,"Date Posted: March 15, 2025","We need volunteers to help run our upcoming event. The Kyle J. Taylor Foundation will host a Youth Heart Screening Event on Saturday, May 17, 2025 at Bellarmine College Prepatory School. We need 2 types of volunteers: General Volunteers - Roles such as: ECG data entry on laptop, Check in, Check out, Greeter, etc. Medical Volunteers - Roles such as: Per","San Jose, CA, 95110"
32 Project Sentinel Day-of-Court Mediator,Project Sentinel,"Date Posted: February 7, 2025","Project Sentinel Court Mediation Programs are currently accepting applications for volunteer mediators for the Santa Clara County Court Mediation Programs, specifically the Unlawful Detainer, Civil Harassment and Small Claims Courts located in Downtown San Jose, California. Project Sentinel offers day-of-court and remote mediation free of charge to litigants in order to resolve their case","San Jose, CA, 95113"
33 AAi Bike Repairs,Abrahamic Alliance International,"Date Posted: February 15, 2025",Help us repair bicycles for neighbors who live outside. Repair bicycles with AAi to help our neighbors who live outside do more than just survive. Donated bikes need repair for safe and reliable operation. Skills Required: Ability to fix a flat tire. Ages: 14+,"San Jose, CA, 95110"
34 National Kidney Foundation - 2025 Northern California Kidney Walk,National Kidney Foundation,"Date Posted: March 13, 2025","The 2025 Northern California Kidney Walk hosted by the National Kidney Foundation serving the West is a San Francisco Bay Area tradition! We are looking for volunteers to help us with all aspects of this family-friendly 5K inside PayPal Park in San Jose, CA on Sunday, June 1, 2025. We would like volunteers for one of two shifts: 1 Early) 6am-10am (setup only) or 2 All-","San Jose, CA, 95110"
35 Historic Orchard Workday - 2nd and 4th Wednesdays @ 9:30 AM!,Guadalupe River Park Conservancy,"Date Posted: February 20, 2025","Our Historic Orchard Revitalization is well under way and we are looking for volunteers to help us with the continued maintenance of the new fruit trees on site. Help us with our trees, and come back in a few years to see the (literal) fruits of your labor! WORKDAY DETAILS → Date: Every 2nd and","San Jose, CA, 95110"
36 Free Haircuts in East SJ,HomeFirst,"Date Posted: March 17, 2025",Free Haircuts volunteer opportunity will consist of providing free haircuts for the participants we serve at our various program site locations. We work with participants who are actively working with case managers to find employment and housing opportunities. Getting a fresh hair cut is very symbolic for human beings. It can mark the beginning of a new chapter. Haircuts ca,"San Jose, CA, 95122"
"37 Volunteer as a Mentor or Instructor for Minds Matter Bay Area, San Jose!",Minds Matter Bay Area,"Date Posted: March 25, 2025",Currently recruiting for 1 mentor spot this year. All other roles to begin June 2025. Join us as a volunteer at Minds Matter Bay Area in San Jose by applying at https://www.mindsmatterbay.org/get-involved Minds Matter Bay Area (MMBay) is a nationally recognized nonprofit organization that helps driven yet underserved students break,"Santa Clara, CA, 95053"
38 San Jose college-bound students need your help for 1/2-day workshop,"10,000 Degrees","Date Posted: March 10, 2025","As a result of the pandemic of the last 3 years, there’s been a 7% decline in college enrollment nationwide -- we are now missing 1.25M students in college compared to 2019. Financial affordability is mission critical in getting students to college. Money Matters is 10,000 Degrees' innovative way of helping pre-college aged students wrap their head","San Jose, CA, 95122"
39 Explore Teaching STEM,EnCorps STEM Teachers Program,"Date Posted: March 3, 2025","Explore becoming a science, technology, engineering or math teacher in an under-resourced community. EnCorps supports STEM professionals ready to explore STEM teaching. Please note that to qualify for the EnCorps STEM Teachers Program, applicants must not currently have a California teaching credential / license / certification in the core subject they intend to teach. About the EnCorps S","San Jose, CA, 95110"
40 National Park Service Trails & Rails Guide Based Near San Jose on Amtrak's Coast Starlight,South Coast Railroad Museum,"Date Posted: February 10, 2025","The Trails and Rails program is a collaboration between the National Park Service and Amtrak. Trails and Rails volunteers provide an interpretive program aboard Amtrak’s Coast Starlight between San Jose and San Luis Obispo. Most of the program takes place in the Sightseer Lounge car aboard the Coast Starlight. Guides are expected to volunteer a minimum of one day per month, May th","San Jose, CA, 95110"
41 Volunteer Opportunity: Piano Tuner,Save Our Pianos,"Date Posted: March 25, 2025","Volunteer Opportunity: Piano Tuner Organization: Save Our Piano Location: Various public locations across Bay Area Commitment: Flexible hours (approx. 5-10 hours per month) Position Type: Volunteer About Save Our Piano: At Save Our Piano, we are dedicated to pr","San Jose, CA, 95125"
42 Support Affordable Housing with Habitat for Humanity by Becoming a Truck Driver Assistant,Habitat for Humanity East Bay/Silicon Valley,"Date Posted: February 18, 2025","About the position Every day, our drivers travel all over the Bay Area picking up donations that they bring back to our ReStores. As a truck driver's assistant you'll start at our Concord location in the morning and spend the day with the driver traveling around the bay in a commercial box truck, helping to load interesting (and sometimes large) donations like furn","San Jose, CA, 95133"
43 March for Babies CA Bay Area - Tent/Onsite Experience Volunteer,March of Dimes,"Date Posted: February 14, 2025",Help needed to support and foster participation onsite through tent activations and event experiences.,"San Jose, CA, 95112"
"44 Bake birthday cakes for foster kids and at risk youth in Santa Clara County, California",Cake4Kids,"Date Posted: January 22, 2025","Bake your way to making a difference! At Cake4Kids we bake and deliver homemade birthday cakes, cupcakes, cookies, bars, and brownies to foster children and at-risk youth -- and all of the baking and decorating is done by you, the volunteers! We aim to raise their self-esteem with this seemingly simple gift on their special day. Cake4Kids supports as many at-risk youth a","San Jose, CA, 95112"
45 Is dancing your passion? Dance your heart out to fight Alzheimer's.,"Alzheimer's Association, Northern CA and Northern NV","Date Posted: March 19, 2025","Are you passionate about dancing? We need your help to end Alzheimer’s. The Alzheimer's Association of Northern California and Northern Nevada is looking for volunteers to help us with our newest national signature event, The Longest Day. You are invited to join The Longest Day Volunteer Committee where you will play a vital role in team recruitment and cul","San Jose, CA, 95131"
46 STEAM Kit Production Volunteer,RAFT - Resource Area For Teaching,"Date Posted: March 20, 2025",Mission : Our mission is to help educators transform a child’s learning experience through hands-on education to one that inspires the joy and discovery of learning. RAFT offers over 80 different STEAM activity kits to our educator members. We rely solely on volunteers to help us put togethe,"San Jose, CA, 95131"
47 Grant Writers,ART OF THE HEART,"Date Posted: March 16, 2025","We are looking for grant writers to do the following: 1) Research grant opportunities and approach the best fits for WIFSFBA 2) Write letters of inquiry and grant proposals, and fill out applications to granting organizations 4) Keep track of which organizations are approached 5) Follow up on approached organizations 6) If granted, write any reports the grant",Virtual Opportunity
48 Therapy pets needed!,Redwood Hospice,"Date Posted: March 13, 2025",Redwood Hospice is starting a pet therapy program! Do you have a therapy animal and want to make a difference in a patient's life? Hours are extremely flexible and this opportunity is rewarding! Looking for volunteers in Santa Clara county as well as San Mateo County.,"San Jose, CA, 95128"
49 Hospice Volunteers,"Soleil Hospice, LLC","Date Posted: March 14, 2025","Volunteers Needed You will participate and work with a team to deliver hands-on, compassionate, volunteer services while supporting patients, family members, and other community caregivers as they navigate the complexities of their journey. We believe compassion should not be a transaction. We ask ourselves every day how we can do more . . . as caregivers, as a team, and as an organ","San Jose, CA, 95131"
50 CA Silicon Valley South: Help solve America's pollution problem.,Citizens' Climate Lobby,"Date Posted: March 6, 2025",Volunteer working on the environment and climate change with our grassroots climate group! CCL volunteers work with their community and members of Congress on climate change solutions. We are organized into more than 450 local chapters across the U.S. Your activities might include: Educating the community about global warming and legislat,"San Jose, CA, 95125"
51 Construya una Conexión Social con Personas Mayores de Edad- Virtual,Front Porch Community Services,"Date Posted: March 17, 2025","Alegre el día de un adulto mayor (60+). Social Call es un programa gratuito que conecta a adultos mayores con voluntarios para mantener una conversación amistosa y construir conexiones! Todo lo que necesitas son 30-40 minutos a la semana y un teléfono. Muchos adultos mayores se enfrentan al aislamiento y la soledad, una simple llamada para c","San Jose, CA, 95050"
52 Love Baseball? Volunteer and Share That Passion!,PONY BASEBALL INC,"Date Posted: March 13, 2025","Are you passionate about baseball and dedicated to providing a positive experience for young athletes? Do you desire to make an impact beyond your local league? PONY Baseball and Softball offers a unique opportunity to be involved at the regional and state level, shaping the game and players on multiple levels. We are seeking enthusiastic and reliable volunteers to serve as Field Direct","Santa Clara, CA, 95050"
"53 Death Doulas Support Needed! - Suncrest Hospice (San Jose, CA)",Suncrest Hospice,"Date Posted: March 25, 2025","Suncrest Hospice is on the lookout for caring Death Doulas! If you're someone who wants to be there for patients and families during their end-of-life journey, offering emotional, spiritual, mental, or physical support, then we want you. Join the Suncrest Hospice team to bring comfort and support to the community and make a difference. Hospice care's philosophy is all about making the end","San Jose, CA, 95111"
54 Create food pantry registration app for Android tablet accessing Salesforce Nonprofit Cloud,Midtown Family Services,"Date Posted: March 14, 2025","Seeking someone to build, test, and eventually deploy an app for volunteers working in our office to register persons picking up food at the food pantry at Midtown Family Services. The tablets we use are Android-based. Meanwhile, the CRM we use is Salesforce Nonprofit Cloud. Initial build and testing will be in a sandbox so no fear of breaking anything during that portion of the project. Final","San Jose, CA, 95128"
55 FIRST Lego League - Explore @ San Jose,Playing At Learning,"Date Posted: March 11, 2025","DISCLAIMER: REGISTERING ON EVENTBRITE DOES NOT MEAN YOU ARE REGISTERED FOR THE EVENT. PLEASE FOLLOW THE INSTRUCTIONS BELOW TO OFFICIALLY REGISTER AS A VOLUNTEER. FIRST Robotics is a program teaching students how to build robots, develop teamwork skills, and foster gracious professionalism. We are seeking volunteers to help host our event and develop the next generation o","San Jose, CA, 95131"
56 Group/Solo Dance Performance - Onsite,Hearts & Minds Activity Center,"Date Posted: February 18, 2025","We are looking for a few small groups or solor dance performances for our seniors! One 30-minute to hour-long performance. Any kind of dance with any kind of skill level will be fine, we have a large program room and also a large backyard space. Our program hours are Monday through Friday, and we encourage performances between 11am - 12pm and 1:30pm - 3:30pm.","San Jose, CA, 95128"
57 Silicon Valley Area: Get involved to end Pancreatic Cancer!,Pancreatic Cancer Action Network,"Date Posted: January 23, 2025","We're looking for amazing volunteers to be part of our local Silicon Valley Affiliate as we help to raise awareness of pancreatic cancer. We have volunteer opportunities to support our major campaigns: the walk to end pancreatic cancer, PurpleStride Silicon Valley on April 26, 2025 and November Pancreatic Cancer Awareness Month. There's something for everyone - for every interes","San Jose, CA, 95110"
58 Sr. Center Hula Dancers for Luau,"The Salvation Army - San Jose, CA","Date Posted: September 17, 2024","Volunteer Hula Dancers needed to perform during Summer Luau Celebration at the Sr. Nutrition Center on Friday, July 26, 2024,11am-11:45am.","San Jose, CA, 95112"
59 Help Someone Read & Write as an Adult Literacy Tutor (Virtual or In-Person) @ Campbell Library,Santa Clara County Library District - Campbell Library,"Date Posted: March 20, 2025","Are you looking for ways to give back to the community? The Reading Program, Santa Clara County Library District’s adult literacy program, is looking for tutors to work one-on-one with adult learners who wish to improve their reading, writing, and communication skills. We work with dedicated, patient, flexible, and sensitive volunteers who cr","Campbell, CA, 95008"
60 Sr. Grant Writer,Outside2Inside,"Date Posted: March 15, 2025","ABOUT OUTSIDE2INSIDE: Outside2Inside (O2I) is a 501(c)(3) non-profit organization focused on reducing food waste through prevention, recovery and recycle through various creative programs. Every year, the United States is wasting approximately 40% of the food we produce. Meanwhile, 42 million Americans are still ""food insecure"". If our country recovere","Santa Clara, CA, 95051"
61 Volunteer Coach @ Rancho del Pueblo,FUTURE TALENT OF SILICON VALLEY dba First Tee - Silicon Valley,"Date Posted: January 14, 2025",Mentor youth and make a positive difference. Be part of a supportive community. Learn coaching and leadership skills. Join our team as a Volunteer Coach! Why Volunteer - Benefits and impact of volunteering Make a positive impact by providing participants the tools to build character. Meet like-minded people and develop a strong community. Learn and develop,"San Jose, CA, 95116"
62 Book Selling Volunteer,Santa Clara City Library Foundation and Friends,"Date Posted: March 12, 2025","Do you love to read and meet people who like books? This is the job for you! Our bookstore volunteers work 2-4 hour shifts selling books at the Central Library bookstore. Proceeds benefit the library. Our bookstore is busy enough to keep things fun, but not too busy. Morning, afternoon and evening shifts available. Monthly Book Sale at the Central Pa","Santa Clara, CA, 95051"
63 Do You Have 90 Minutes to Help Transport Food?,PENINSULA FOOD RUNNERS INC,"Date Posted: January 15, 2025","We are seeking volunteers that can pick up food in the mornings or mid-afternoons from local companies and then drive the food to non-profits that feed their clientele. For example, the food might be driven to a local nonprofit that feeds the homeless, elderly, children, recovering addicts, etc. Volunteers use their own cars and each food run takes about 90 minutes. C","San Jose, CA, 95110"
64 Disaster Cycle Services - Disaster Spiritual Care Team Member,American Red Cross of Northern California Coastal Region,"Date Posted: February 28, 2025","Target Countie(s): San Francisco, San Mateo, Santa Clara, Monterey, Santa Cruz What does a Disaster Spiritual Care volunteer do? Provide spiritual care support to individuals and families who have been impacted by a disaster.   Assist disaster clients to utilize their own spiritual resources, values and faith during crisis, regardless of one's faith tradition.   Facil","San Jose, CA, 95134"
65 Evening Child Care,FAMILY SUPPORTIVE HOUSING INC,"Date Posted: January 13, 2025","Thank you for your interest in volunteering with Evening Child Care (ECC) with Family Supportive Housing. Evening Child Care (ECC) volunteers can make a significant difference in a child's life by helping them with social, motor, and cognitive skills in a safe, positive environment where children can focus on learnin","San Jose, CA, 95133"
66 Camden Community Center - Spring Egg Hunt 2025,Camden Community Center,"Date Posted: March 27, 2025","Calling all volunteers! Join us on Saturday, April 12th for our annual Spring Egg Hunt Event at Camden Community Center. We are currently looking for 10 volunteers to help with our event. Available shift is 8:30am-12:45pm, but flexibility is available. We need assistance with our arts-n-crafts area, photo booth, field egg hunt, and set-up/clean-up. For additional question please","San Jose, CA, 95124"
67 Looking for help at San Jose Sharks Games,Alenza Wellness Community Outreach,"Date Posted: March 29, 2025","We are in need of volunteers to manage our stand at the SAP Center. This opportunity will help build our community and we would like for you to be a part of it. Here are the Requirements: A pleasant attitude Black Pants and Black Tennis Shoes/Sneakers (non-slip resistant) (no jeans, leggings, sweatpants) Must be 18 years of age and older A VALID issued GOVERNMENT I","San Jose, CA, 95113"
68 PREHEALTH/PREDENTAL: Nonprofit Fundraising Volunteer,REMEMBER THE TOOTHFAIRY,"Date Posted: March 16, 2025","As a Fundraising volunteer, you will play a key role in raising money for Remember the ToothFairy by helping plan various fundraising events as well as executing them. This team participates in fundraisers to sell items, power hours to outreach for donations, and more. The volunteers on this team should know how to utilize their connections in order to escalate RTF’s donations. All volunt",Virtual Opportunity
69 Household Hazardous Waste Pickup & Drop Off Driver,"Heart of the Valley, SERVICES FOR SENIORS, Inc.","Date Posted: February 11, 2025","Help keep seniors safe in their homes!! Volunteer HHW Drivers pick up items such as old light bulbs, batteries, paints, insecticides, household cleaners and E-waste from the seniors homes and take them to proper disposal sites within Santa Clara County. This is a once a month job offered to seniors who cannot drive for themselves. Pick up can occur at anytime and delivery may be Friday, Saturda","Santa Clara, CA, 95050"
70 Summer Camp 2025 Volunteering Opportunity - South San Jose,CalEdu Foundation | CalColor Academy,"Date Posted: March 26, 2025","Calling all artists and educators! Please also submit your application through this Google Form: https://forms.gle/fsyjh3Etd7kvqfr46 Dates: June 9th - August 1st. You can choose one or multiple weeks within this period. Locations to choose: - Belmont, 94002 - Mountain View, 94040 - Cuper","San Jose, CA, 95118"
71 Volunteer at Stanford Blood Center in the South Bay!,Stanford Blood Center,"Date Posted: February 19, 2025","Stanford Blood Center is in need of Post-Donation Canteen Hosts for our new South Bay location. These specially trained volunteers interact with our volunteer blood donors after their donation, monitoring their recovery, alerting medical personnel if there is a need, and serving refreshments. Essential attributes include an outgoing and friendly personality, great customer ser","Campbell, CA, 95008"
72 Board Member,Birthright of San Jose,"Date Posted: January 30, 2025","Birthright of San Jose board members meet quarterly and guide the organization according to our charter and ensuring financial stability into the future. Board members are also expected to participate in a chosen area of interest and familiarize themselves with the day to day operations of the center. Board training involves filling out an application, attending an orientation, viewing a video and","San Jose, CA, 95128"
"73 Become a Mentor - Volunteer in a ""Big"" way!",Big Brothers Big Sisters of the Bay Area,"Date Posted: February 26, 2025","About Big Brothers Big Sisters Bay Area's Program: Our urgent and essential mission is to create and support one-to-one mentoring relationships that ignite the power and promise of youth. We pair young people referred to our program by parents, guardians, teachers and social workers with a screened, qualified volunteer adult mentor through a comprehensive matching process, whic","San Jose, CA, 95111"
74 California Host Families for Amazing Exchange Students (San Jose),International Cultural Exchange Services (ICES),"Date Posted: February 26, 2025","Opportunity for families & individuals in San Jose and surrounding area ! Ready to have a fun experience? Ready to enjoy some cultural diversity? Ready to get inspired? Invite an international high school student to your home for a few weeks, a semester or even a full school year! Hosting is a","San Jose, CA, 95111"
75 Board Member - Fund Development & Strategic Visioning,Dreamzilla Inc,"Date Posted: March 10, 2025","Our mission is to help neurodivergent people cultivate their unique talents, pursue their passions, and be their biggest, baddest selves. We envision a world where neurodiversity in all its forms is celebrated, rather than marginalized; where we acknowledge our differences and work within them to strengthen our connection; and where neurodivergent individuals can thrive in all",Virtual Opportunity
76 For Students & Schools--Help Feed Children and Families in Need,CEREAL4ALL INC,"Date Posted: February 4, 2025","Students, Clubs, Teachers, and Youth Groups Partner up with Cereal4all to address a shortage of breakfast food donations at food banks STUDENT AMBASSADOR PROGRAM * Earn 10 Community Service Hours * Take an active role fighting hunger and food insecurity in your city","San Jose, CA, 95050"
